movie_id,title,overview,genre_ids,split
1210,Control,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of",[18],test
1288,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of,"[28, 12, 14]",test
6147,Dry,"In Rome it hasn’t rained for three years and the lack of water is overturning rules and habits. Through the city dying of thirst and prohibitions moves a chorus of people, young and old, marginalised and successful, victims and profiteers. Their lives","[18, 35, 878]",test
120,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are","[18, 53, 9648]",test
3105,Galaxy Quest,"For four years, the courageous crew of the NSEA Protector —  Commander Peter Quincy Taggart, Lieutenant Tawny Madison, and Doctor Lazarus — set off on a thrilling and often dangerous mission in space ... until their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for ""historical documents"" and beam up the crew of has-been actors to save","[35, 878, 12]",test
4250,Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer,","[28, 35, 80]",test
350,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and",[18],test
6325,Spree,"Desperate for an online following, a rideshare driver has figured out a deadly plan to go viral and he will stop at nothing","[35, 80, 27, 53]",test
1898,The Time Machine,A Victorian Englishman travels to the far future and finds that humanity has divided,"[53, 12, 14, 878, 10749]",test
9290,Survivor,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she","[28, 80, 9648, 53]",test
9395,The Hunters,"Imagine if all mythical artifacts, from Jason's Golden Fleece to Cinderella's glass slippers, were real. Well, they are -- and for centuries, a secret society called the Hunters has been sworn",[12],test
7853,Goosebumps 2: Haunted Halloween,"Be careful what you wish for. With their after school junk business, best friends Sonny and Sam hope to find treasure in other people’s trash. But when cleaning out the old Stine house, they open a locked book that frees a supernatural nightmare – Slappy! Now, with the help of Sonny’s sister Sarah, they’re in a race against time to get","[35, 14, 27]",test
2734,Petite Maman,"After the death of her beloved grandmother, eight-year-old Nelly meets a strangely familiar girl her own age in the woods. Instantly forming a connection with this mysterious new friend, Nelly embarks on a fantastical journey of","[18, 14, 10751]",test
2181,Victor/Victoria,"A struggling female soprano finds work playing a male female impersonator, but it","[10402, 35, 10749]",test
8548,Volcano,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, working with a geologist, must then","[878, 28, 18, 53]",test
4191,About Schmidt,"A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself","[18, 35]",test
1320,The Rules of the Game,A weekend at a marquis’ country château lays bare some ugly truths about a,"[18, 35, 10749]",test
1419,The Reader,"The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He","[18, 10749]",test
1016,In a Lonely Place,"A violent screenwriter and a female neighbor fall in love after she clears him of murder, but she","[18, 10749, 9648]",test
110,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey","[16, 12, 14, 35, 10751]",test
8307,The 6th Day,"A world of the very near future in which cattle, fish, and even the family pet can be cloned. But cloning humans is illegal - that is until family man Adam Gibson comes home from work one day to find a clone has replaced him. Taken from his family and plunged into a sinister world he doesn't understand, Gibson must not only save himself from the assassins","[878, 28, 9648, 18, 53]",test
6202,Jackie,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John",[18],test
